Attribute,Description,Value,Meaning
CAMEO_DEUG_2015,CAMEO classification 2015 - Uppergroup,-1,unknown
,,1,upper class
,,2,upper middleclass
,,3,established middleclasse
,,4,consumption-oriented middleclass 
,,5,active middleclass 
,,6,low-consumption middleclass
,,7,lower middleclass
,,8,working class
,,9,urban working class
CAMEO_DEU_2015,CAMEO classification 2015 - detailled classification,1A,Work-Life-Balance
,,1B,Wealthy Best Ager
,,1C,Successful Songwriter
,,1D,Old Nobility
,,1E,City Nobility
,,2A,Cottage Chic
,,2B,Noble Jogger
,,2C,Established gourmet
,,2D,Fine Management
,,3A,Career & Family
,,3B,Powershopping Families
,,3C,Rural Neighborhood
,,3D,Secure Retirement
,,4A,Family Starter
,,4B,Family Life
,,4C,String Trimmer
,,4D,Empty Nest
,,4E,Golden Ager
,,5A,Younger Employees
,,5B,Suddenly Family
,,5C,Family First
,,5D,Stock Market Junkies
,,5E,Coffee Rider
,,5F,Active Retirement
,,6A,Jobstarter
,,6B,Petty Bourgeois
,,6C,Long-established
,,6D,Sportgardener
,,6E,Urban Parents
,,6F,Frugal Aging
,,7A,Journeymen
,,7B,Mantaplatte
,,7C,Factory Worker
,,7D,Rear Window
,,7E,Interested Retirees
,,8A,Multi-culteral
,,8B,Young & Mobile
,,8C,Prefab
,,8D,Town Seniors
,,9A,First Shared Apartment
,,9B,Temporary Workers
,,9C,Afternoon Talk Show
,,9D,Mini-Jobber
,,9E,Socking Away
CAMEO_DEUINTL_2015,CAMEO classification 2015 - international typology,-1,unknown
,(each German CAMEO code belongs to one international code),11,Wealthy Households-Pre-Family Couples & Singles
,,12,Wealthy Households-Young Couples With Children
,,13,Wealthy Households-Families With School Age Children
,,14,Wealthy Households-Older Families &  Mature Couples
,,15,Wealthy Households-Elders In Retirement
,,21,Prosperous Households-Pre-Family Couples & Singles
,,22,Prosperous Households-Young Couples With Children
,,23,Prosperous Households-Families With School Age Children
,,24,Prosperous Households-Older Families & Mature Couples
,,25,Prosperous Households-Elders In Retirement
,,31,Comfortable Households-Pre-Family Couples & Singles
,,32,Comfortable Households-Young Couples With Children
,,33,Comfortable Households-Families With School Age Children
,,34,Comfortable Households-Older Families & Mature Couples
,,35,Comfortable Households-Elders In Retirement
,,41,Less Affluent Households-Pre-Family Couples & Singles
,,42,Less Affluent Households-Young Couples With Children
,,43,Less Affluent Households-Families With School Age Children
,,44,Less Affluent Households-Older Families & Mature Couples
,,45,Less Affluent Households-Elders In Retirement
,,51,Poorer Households-Pre-Family Couples & Singles
,,52,Poorer Households-Young Couples With Children
,,53,Poorer Households-Families With School Age Children
,,54,Poorer Households-Older Families & Mature Couples
,,55,Poorer Households-Elders In Retirement
CJT_GESAMTTYP,customer journey typology,0,unknown
,,1,Advertising- and Consumptionminimalist
,,2,Advertising- and Consumptiontraditionalist
,,3,advertisinginterested Store-shopper
,,4,advertisinginterested Online-shopper
,,5,Advertising- and Cross-Channel-Enthusiast
,,6,Advertising-Enthusiast with restricted Cross-Channel-Behaviour 
D19_BANKEN_ANZ_12,transaction activity BANKS in the last 12 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_BANKEN_ANZ_24,transaction activity BANKS in the last 24 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_BANKEN_DATUM,actuality of the last transaction for the segment banks TOTAL,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_BANKEN_DIREKT_RZ,transactional activity based on the product group DIRECT BANKS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BANKEN_GROSS_RZ,transactional activity based on the product group BIG BANKS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BANKEN_LOKAL_RZ,transactional activity based on the product group LOCAL BANKS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BANKEN_OFFLINE_DATUM,actuality of the last transaction for the segment banks OFFLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 12 months
,,7,activity elder than 18 months
,,8,activity elder than 24 months
,,9,activity elder than 36 months
,,10,no transactions known
D19_BANKEN_ONLINE_DATUM,actuality of the last transaction for the segment banks ONLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 12 months
,,7,activity elder than 18 months
,,8,activity elder than 24 months
,,9,activity elder than 36 months
,,10,no transactions known
D19_BANKEN_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment bank ,0,no Online-transactions within the last 12 months
,,1,10% Online-transactions within the last 12 months
,,2,20% Online-transactions within the last 12 months
,,3,30% Online-transactions within the last 12 months
,,4,40% Online-transactions within the last 12 months
,,5,50% Online-transactions within the last 12 months
,,6,60% Online-transactions within the last 12 months
,,7,70% Online-transactions within the last 12 months
,,8,80% Online-transactions within the last 12 months
,,9,90% Online-transactions within the last 12 months
,,10,100% Online-transactions within the last 12 months
D19_BANKEN_REST_RZ,transactional activity based on the product group FURTHER BANKS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BEKLEIDUNG_GEH_RZ,transactional activity based on the product group LUXURY CLOTHING,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BEKLEIDUNG_REST_RZ,transactional activity based on the product group FURTHER CLOTHING,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BILDUNG_RZ,transactional activity based on the product group EDUCATION,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BIO_OEKO_RZ,transactional activity based on the product group ECOLOGICALS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_BUCH_RZ,transactional activity based on the product group BOOKS and CDS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_DIGIT_SERV_RZ,transactional activity based on the product group DIGITAL SERVICES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_DROGERIEARTIKEL_RZ,transactional activity based on the product group DRUGSTORES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_ENERGIE_RZ,transactional activity based on the product group ENERGY,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_FREIZEIT_RZ,transactional activity based on the product group LEISURE PRODUCTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_GARTEN_RZ,transactional activity based on the product group GARDENING PRODUCTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_GESAMT_ANZ_12,transaction activity TOTAL POOL in the last 12 months ,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_GESAMT_ANZ_24,transaction activity TOTAL POOL in the last 24 months ,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_GESAMT_DATUM,actuality of the last transaction with the complete file TOTAL,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_GESAMT_OFFLINE_DATUM,actuality of the last transaction with the complete file OFFLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_GESAMT_ONLINE_DATUM,actuality of the last transaction with the complete file ONLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_GESAMT_ONLINE_QUOTE_12,amount of online transactions within all transactions in the complete file ,0,no Online-transactions within the last 12 months
,,1,10% Online-transactions within the last 12 months
,,2,20% Online-transactions within the last 12 months
,,3,30% Online-transactions within the last 12 months
,,4,40% Online-transactions within the last 12 months
,,5,50% Online-transactions within the last 12 months
,,6,60% Online-transactions within the last 12 months
,,7,70% Online-transactions within the last 12 months
,,8,80% Online-transactions within the last 12 months
,,9,90% Online-transactions within the last 12 months
,,10,100% Online-transactions within the last 12 months
D19_HANDWERK_RZ,transactional activity based on the product group DO-IT-YOURSELF PRODUCTS ,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_HAUS_DEKO_RZ,transactional activity based on the product group HOUSE DECORATION,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_KINDERARTIKEL_RZ,transactional activity based on the product group CHILDREN'S PRODUCTS ,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_KONSUMTYP,consumption type ,1,Universal
,,2,Versatile
,,3,Gourmet
,,4,Family
,,5,Informed 
,,6,Modern
,,9,Inactive
D19_KK_KUNDENTYP,consumption movement in the last 12 months,-1,unknown
,,1,regular customer
,,2,active customer
,,3,new costumer
,,4,stray customer
,,5,inactive customer 
,,6,passive customer
D19_KOSMETIK_RZ,transactional activity based on the product group COSMETIC PRODUCTS ,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_LEBENSMITTEL_RZ,transactional activity based on the product group FOOD PRODUCTS ,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_LOTTO_RZ,transactional activity based on the product group LOTTO,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_NAHRUNGSERGAENZUNG_RZ,transactional activity based on the product group DIETARY SUPPLEMENTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_RATGEBER_RZ,transactional activity based on the product group GUIDEBOOKS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_REISEN_RZ,transactional activity based on the product group TRAVEL RELATED PRODUCTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_SAMMELARTIKEL_RZ,transactional activity based on the product group COLLECTABLE ITEMS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_SCHUHE_RZ,transactional activity based on the product group SHOES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_SONSTIGE_RZ,transactional activity based on the product group ALL OTHER CATEGORIES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_TECHNIK_RZ,transactional activity based on the product group TECHNOLOGY,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_TELKO_ANZ_12,transaction activity TELCO in the last 12 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_TELKO_ANZ_24,transaction activity TELCO in the last 24 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_TELKO_DATUM,actuality of the last transaction for the segment telecommunication TOTAL,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_TELKO_MOBILE_RZ,transactional activity based on the product group MOBILE COMMUNICATION,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_TELKO_OFFLINE_DATUM,actuality of the last transaction for the segment telecommunication OFFLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_TELKO_ONLINE_DATUM,actuality of the last transaction for the segment telecommunication ONLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_TELKO_REST_RZ,transactional activity based on the product group FURTHER MOBILE COMMUNICATION PRODUCTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_TIERARTIKEL_RZ,transactional activity based on the product group ANIMAL PRODUCTS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_VERSAND_ANZ_12,transaction activity MAIL-ORDER in the last 12 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VERSAND_ANZ_24,transaction activity MAIL-ORDER in the last 24 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VERSAND_DATUM,actuality of the last transaction for the segment mail-order TOTAL,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_OFFLINE_DATUM,actuality of the last transaction for the segment mail-order OFFLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_ONLINE_DATUM,actuality of the last transaction for the segment mail-order ONLINE,1,highest activity within the last 12 months
,,2,very high activity within the last 12 months
,,3,high activity within the last 12 months
,,4,increased activity within the last 12 months
,,5,slightly increased activity within the last 12 months
,,6,activity elder than 1 year
,,7,"activity elder than 1,5 years"
,,8,activity elder than 2 years
,,9,activity elder than 3 years
,,10,no transactions known
D19_VERSAND_ONLINE_QUOTE_12,amount of online transactions within all transactions in the segment mail-order ,0,no Online-transactions within the last 12 months
,,1,10% Online-transactions within the last 12 months
,,2,20% Online-transactions within the last 12 months
,,3,30% Online-transactions within the last 12 months
,,4,40% Online-transactions within the last 12 months
,,5,50% Online-transactions within the last 12 months
,,6,60% Online-transactions within the last 12 months
,,7,70% Online-transactions within the last 12 months
,,8,80% Online-transactions within the last 12 months
,,9,90% Online-transactions within the last 12 months
,,10,100% Online-transactions within the last 12 months
D19_VERSAND_REST_RZ,transactional activity based on the product group FURTHER MAIL-ORDER ARTICLES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_VERSICHERUNGEN_RZ,transactional activity based on the product group INSURANCES,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_VERSI_ANZ_12,transaction activity INSURANCE in the last 12 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VERSI_ANZ_24,transaction activity INSURANCE in the last 24 months,0,no transactions known
,,1,very low activity
,,2,low activity
,,3,slightly increased activity
,,4,increased activity
,,5,high activity
,,6,very high activity
D19_VOLLSORTIMENT_RZ,transactional activity based on the product group COMPLETE MAIL-ORDER OFFERS,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
D19_WEIN_FEINKOST_RZ,transactional activity based on the product group WINE AND GOURMET FOOD,0,no transaction known
, - on grid level -,1,Multibuyer 0-12 months
,,2,Doublebuyer 0-12 months
,,3,Singlebuyer 0-12 months
,,4,Multi-/Doublebuyer 13-24 months
,,5,Singlebuyer 13-24 months
,,6,Buyer > 24 months
,,7,Prospects > 24 months
EWDICHTE,density of inhabitants per square kilometer,-1,unknown
,,1,less than 34 HH/km²
,,2,34 - 89 HH/km²
,,3,90 - 149 HH/km²
,,4,150 - 319 HH/km²
,,5,320 - 999 HH/km²
,,6,more than 999 HH/²
FINANZTYP,best descirbing financial type for the person,-1,unknown
,,1,low finacial interest
,,2,money saver
,,3,main focus is the own house
,,4,be prepared
,,5,Investor
,,6,unremarkable
FINANZ_ANLEGER,financial typology: investor,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_HAUSBAUER,financial typology: main focus is the own house,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_MINIMALIST,financial typology: low financial interest,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_SPARER,financial typology: money saver,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_UNAUFFAELLIGER,financial typology: unremarkable,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
FINANZ_VORSORGER,financial typology: be prepared,-1,unknown
,,1,very high
,,2,high
,,3,average
,,4,low
,,5,very low
GEBAEUDETYP,type of building (residential or commercial),"-1, 0",unknown
,,1,residental building
,,2,residental building buildings without actually known household
,,3,mixed (=residential and company) building 
,,4,mixed building without actually known household or comapny 
,,5,company building w/o known company 
,,6,mixed building without actually known household 
,,7,company building
,,8,mixed building without actually known company 
GEBAEUDETYP_RASTER,industrial areas,1,business cell
,,2,mixed cell with high business share
,,3,mixed cell with middle business share
,,4,mixed cell with low business share
,,5,residential cell
GEBURTSJAHR,year of birth,…,numeric value
GFK_URLAUBERTYP,vacation habits,1,Event travelers
,,2,Family-oriented vacationists
,,3,Winter sportspeople
,,4,Culture lovers
,,5,Nature fans
,,6,Hiker
,,7,Golden ager
,,8,Homeland-connected vacationists 
,,9,Package tour travelers
,,10,Connoisseurs
,,11,Active families
,,12,without vacation
GEOSCORE_KLS7,microgeographical risk index concerning population solvency,"-1, 0",unknown
,,1,almost no risk
,,2,risk below average
,,3,risk slightly below average
,,4,average risk
,,5,risk slightly above average
,,6,risk above average
,,7,highest risk
GREEN_AVANTGARDE,Green avantgarde,0,doesn't belong to the green avantgarde
,the environmental sustainability is the dominating movement in the youth of these consumers,1,belongs to the green avantgarde
HAUSHALTSSTRUKTUR,"structure of the household (single-hh, couple with different surnames, family,...)","-1, 0",unknown
,,1,"single-person-houshold, male, w/o child "
,,2,"single-person-houshold, female, w/o child "
,,3,"single-person-houshold, w/ child"
